,name,text
0,Terry Jones," Michael Norman Randall, you have been found guilty 
            of the murder of Arthur Reginald Webster, Charles Patrick 
            Trumpington, Marcel Agnes Bernstein, Lewis Anona Rudd, John Malcolm 
            Kerr, Nigel Sinclair Robinson, Norman Arthur Potter, Felicity Jayne 
            Stone, Jean-Paul Reynard, Rachel Shirley Donaldson, Stephen Jay 
            Greenblatt, Karl-Heinz Mullet, Belinda Anne Ventham, Juan-Carlos 
            Fernandez, Thor Olaf Stensgaard, Lord Kimberrley of Pretoria, Lady 
            Kimberley of Pretoria, The Right Honourable Nigel WarmsIcy 
            Kimberley, Robert Henry Noonan and Felix James Bennett, on or about 
            the morning of the 19th December 1972. Have you anything to say 
            before I pass sentence? "
1,Eric Idle," Yes, sir. I'm very sorry. "
2,Terry Jones, Very sorry! 
3,Eric Idle," Yes, sir. It was a very very bad thing to have 
            done and I'm really very ashamed of myself, I can only say it won't 
            happen again. To have murdered so many people in such a short space 
            of time is really awful, and I really am very, very, very sorry that 
            I did it, and also that I've taken up so much of the court's 
            valuable time listening to the sordid details of these senseless 
            killings of mine. I would particularly like to say, a very personal 
            and sincere 'sorry' to you, m'lud, my lud for my appalling behavior 
            throughout this trial. I'd also like to say sorry to the police, for 
            putting them to so much trouble "
4,Graham Chapman," No, no, we were only doing our job. "
5,Eric Idle," It's very good of you to say that, but I know 
            what you've been through. "
6,Graham Chapman," No, no, we've had worse. "
7,Eric Idle," I know and I'm grateful I'd like to apologize too 
            to the prosecuting counsel for dragging him in here morning after 
            morning in such lovely weather. "
8,John Cleese," Well, I would have had to come in anyway. "
9,Eric Idle," Ah good, but what a presentation of a case! "
10,John Cleese, Oh thank you. 
11,Eric Idle," No, no, it's a privilege to watch you in action. 
            I never had a chance. "
12,John Cleese, Oh yes you did. 
13,Eric Idle, Not after that summing up. Great. 
14,John Cleese, Oh thank you. 
15,Eric Idle," And now I must come to the jury. What can I say. 
            I've dragged you in here, day after day, keeping you away from your 
            homes, your jobs, your loved ones, just to hear the private details 
            of my petty atrocities. "
16,Michael Palin," No, no, 'it was very interesting. "
17,Eric Idle, But you could have had a much nicer case. 
18,Michael Palin," No, no, murder's much more fun. "
19,Eric Idle, 
20,Terry Jones, Well er... not necessarily. 
21,Eric Idle," No, m'lud, the full penalty of the law is hardly 
            sufficient, I insist I must be made an example of. "
22,Terry Jones, Well yes and no. I mean society at large... 
23,Eric Idle," Oh no, m'lud. Not with mass murder. "
24,Terry Jones," But in this case, "
25,Eric Idle," Oh, come on, m'lud, you've got to give me life.
            "
26,Eric Idle, 
27,Terry Jones, Ten years! 
28,Eric Idle, Well five then. Be fair. 
29,Terry Jones," No, no. I'm giving you three months. "
30,Eric Idle," Oh no, that's so embarrassing. I won't hear of 
            it. Give me six...please. "
31,Terry Jones," Well, all right. Six months. "
32,Eric Idle," Thank you, m'lud. "
33,Terry Jones, But suspended. 
34,Eric Idle, Oh no. 
35,Michael Palin, Three cheers for the defendant. Hip. Hip. 
36,Michael Palin, Hip. Hip. 
37,Michael Palin, Hip. Hip. 
38,Eric Idle," For he's a jolly good fellow For he's a jolly good 
            fellow For he's a jolly good fellow "
0,Michael Palin," This little-known Icelandic saga, written 
            by an unknown hand in the late thirteenth century, has remained 
            undiscovered until today. Now it comes to your screens for the first 
            time. Fresh from the leaves of Iceland's history. The terrible 
            'Njorl's Saga'. "
1,Michael Palin, It's not that terrible. 
2,John Cleese," No, I meant terribly violent. "
3,Michael Palin," Oh yeah, yeah. "
4,Michael Palin," Erik Njorl's, son of Frothgar, leaves his 
            home to seek Hangar the EIder at the home of Thorvald Nlodvisson, 
            the son of Gudleif, half brother of Thorgier, the priest of Ljosa 
            water, who took to wife Thurunn, the mother of Thorkel Braggart, the 
            slayer of Cudround the powerful, who knew Howal, son of Geernon, son 
            of Erik from Valdalesc, son of Arval Gristlebeard, son of Harken, 
            who killed Bjortguaard in Sochnadale in Norway over Cudreed, 
            daughter of Thorkel Long, the son of Kettle-Trout, the half son of 
            Harviyoun Half-troll, father of Ingbare the Brave, who with Isenbert 
            of Gottenberg the daughter of Hangbard the Fierce ... "
5,Michael Palin," I must apologize for an error in the saga. 
            Evidently Thorgier, the Prieit of Ljosa water who took to wife 
            Thurunn, the mother of Thorkel Braggart, the slayer of Gudmund the 
            powerful, who knew Howal, son of Geernon, son of Erik from Vadalesc 
            ... "
6,Michael Palin," Well I'm afraid we're having a little 
            trouble getting this very exciting Icelandic saga started. If any of 
            you at home have any ideas about how to get this exciting saga 
            started again here's the address to write to: "
7,Michael Palin," Help the Exciting Icelandic Saga, 18b 
            MacNorten Buildings, Oban. "
8,John Cleese, 
9,Michael Palin, Well it wasn't all that terrible. 
10,John Cleese," No, no, I meant terrible in the sense of 
            unfortunate. "
11,Michael Palin, Oh. 
12,John Cleese," Anyway, our plea for assistance has been 
            answered by the North Malden Icelandic Saga Society who've given us 
            some very useful information about the saga and so we carD' on now 
            with 'Njorl's Saga' with our thanks going, once again, to the North 
            Maiden Icelandic Saga Society. "
13,Michael Palin," Erik Njorl, son of Frothgar rode off into 
            the desolate plain. "
14,Michael Palin, Welcome to North Malden. 
15,Michael Palin," And we apologize to viewers of 'Njorl's 
            Saga' who may be confused by some of the references to North Malden. 
            After a frank exchange of views we have agreed to carry on showing 
            this version supplied to us by the North Malden Icelandic Saga 
            Society on the undertaking that future scenes will adhere more 
            closely to the spirit of twelfth-century Iceland. "
16,Michael Palin," With moist eyes, Erik leaves this happy 
            land to return to the harsh uneconomic realities of life in the land 
            of Ljosa waters. On his way Erik rested a while in the land of 
            Bjornsstrand - the land of dark forces, where Gildor was King. "
17,John Cleese," Hello? Is that the North Malden 
            Icelandic Society? "
18,Michael Palin," Yes, that's right. "
19,John Cleese, About this saga. 
20,Michael Palin," Oh yes, the Icelandic saga. "
21,John Cleese, Yes. 
22,Michael Palin," Good, isn't it. "
23,John Cleese," Well er, I don't know, but you promised us that 
            you would stick to the spirit of the original text. "
24,Michael Palin," Yes, that's right. "
25,John Cleese," Well I mean a lot of these things that are 
            happening, well they just don't quite ring true. "
26,Michael Palin," Well, it's a new interpretation really. "
27,John Cleese, Well we don't want a new... 
28,John Cleese," ... I mean we wanted the proper thing... I mean 
            just look what's happening now. "
29,Michael Palin," Banners were a very important part of Icelandic 
            lore, Mr. Mills. "
30,John Cleese," No, no, I'm sorry I, I can't accept that, it's 
            gone too far, I'm very sorry but we'll have to terminate the 
            agreement. You're just trying to cash in on the BBC's exciting 
            Icelandic saga. "
31,Michael Palin," That's business, Mr. Mills. "
32,John Cleese," Well, that's as maybe but it's not the way the 
            BBC works. "
33,Michael Palin," Well I'm sorry you feel that way but er, you know, 
            if you ever want to come to Malden... "
0,Graham Chapman," 8 o'clock is a peak viewing hour so naturally we tend 
            to sack to our comedy output - unless of course there's sport - 
            because of course we know this is popular, and popularity is what 
            television is about. Quite frankly I'm sick and tired of people 
            accusing us of being ratings conscious. "
1,Terry Jones, 
2,Terry Jones, Thank you. 
3,Graham Chapman," Now I'm really cheesed off. I mean it's not your 
            high-brow bleeding plays that pull in the viewers, you know. "
4,Terry Jones, 
5,Graham Chapman, 
6,Terry Jones, Thank you. 
7,Graham Chapman," He wants to sit down and he wants to be entertained, 
            he doesn't want a load... "
8,Terry Jones, 
9,John Cleese," Case dismissed, m'lud? "
