,name,text
0,Eric Idle," Hello. Tonight on 'Face the Press' we're 
            going to examine two different views of contemporary things. On my 
            left is the Minister for Home Affairs "
1,Graham Chapman," No, no. I'd like to answer this question if I 
            may in two ways. Firsfly in my normal voice and then in a kind of 
            silly high-pitched whine... You see housing is a problem really...
            "
2,Eric Idle," Well, while the minister is answering this 
            question I'd just like to point out the minister's dress has been 
            made entirely by hand from over three hundred pieces of Arabian shot 
            silk "
3,Graham Chapman, Don't I say any more? 
4,Eric Idle," No fear! Today saw the appointment of a new 
            head of Allied Bomber Command - Air Chief Marshal Sir Vincent 'Kill 
            the Japs' Forseer. He's in our Birmingham studio... "
5,John Cleese," Hello Sailors! Listen, guess what. The 
            Minister of Aviation has made me head of the RAF Ola Pola. "
0,Michael Palin, Hello. Mrs. Rogers? 
1,Terry Jones," No. Ooh I must be in the wrong house, "
2,John Cleese," So from now on we're going to do things my 
            way. For a start David Hockhey is going to design the bombs. And 
            I've seen the plans... "
3,Terry Jones, That must be the new gas cooker. 
4,Michael Palin, Morning. Mrs. G. Crump? 
5,Terry Jones, No - Mrs. G. Pinnet. 
6,Michael Palin, This is 46 Egernon Crescent? 
7,Terry Jones, No - Road. Egernon Road. 
8,Michael Palin, 
9,Terry Jones," Oh there's nobody here of that name. It's 
            Mrs. G. Pinnet. 46 Egernon Road. "
10,Michael Palin," Well it says 'Crump' here. Don't it, Harry?
            "
11,Graham Chapman, Yeah - it's on the invoice. 
12,Michael Palin," Yeah, definitely Crump. "
13,Terry Jones," Well there must have been a mistake, because 
            the address is right, and that's definitely the cooker I ordered - a 
            blue and white CookEasy. "
14,Michael Palin," Well you can't have this. This is Crump.
            "
15,Terry Jones," Oh dear, what are we going to do? "
16,Michael Palin," Well I don't know. What we can do for you 
            is take it back to the Depot, get a transfer slip from Crump to 
            Pinnet, and put it on a special delivery. "
17,Graham Chapman," Yeah - that's best. We'll special it for 
            you, we'll get it down there today and you'll get it back in ten 
            weeks. "
18,Terry Jones," Ten weeks! Blimey, can't you just leave this 
            one? "
19,Michael Palin, What this? What leave it here? 
20,Terry Jones, Yes. 
21,Michael Palin, Well I dunno. I suppose we could. 
22,Graham Chapman," Oh, but she'd have to fill out a temporary 
            dispatch note. "
23,Michael Palin," Yeah we could leave it on a temporary 
            dispatch note. "
24,Terry Jones," Well that's sorted out then. What a mess, 
            isn't it. "
25,Michael Palin," I know, it's ridiculous really, but there 
            you are. Glad we could be of such a help. Right, would you sign it 
            down there please, Mrs. Crump? "
26,Terry Jones, Pinnet. 
27,Michael Palin," Pinnet. Listen, just for the books make it 
            a bit easier, could you sign it Crump-Pinnet. "
28,Terry Jones, Right. 
29,Michael Palin," Right. Thank you very much, dear. The 
            cooker's yours. Right. Thank you very much, dear. Right. "
30,Graham Chapman," Cheerio, Mrs. Crump! "
31,Terry Jones," Heh, excuse me! Cooey! Er, can you put it in 
            the kitchen? "
32,Michael Palin, 
33,Terry Jones," Well I can't cook on it unless it's connected 
            up. "
34,Michael Palin," Oh we didn't realize you had an 
            installation invoice. "
35,Graham Chapman, An MI. 
36,Michael Palin," No, we can't touch it without an MI, you 
            see. "
37,Graham Chapman, Or an RI6. 
38,John Cleese, 
39,Graham Chapman," Nah - it's not special ... the special's 
            back at the Depot. "
40,Michael Palin," No, the special's the same as installation 
            invoice. "
